Schema,Table,Type,Column,DataType,Length,Nullable
alteryx,alteryx_gong_call,VIEW,gong_call_call_outcome_name,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_client_unique_id,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_company_question_count,INT,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_direction,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_duration,INT,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_is_private,BOOLEAN,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_languages,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_media,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_media_audio_url,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_media_video_url,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_meeting_url,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_non_company_question_count,INT,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_primary_user_id,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_purpose,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_scheduled,DATE,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_scheduled_time,TIMESTAMP,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_scope,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_sdr_disposition,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_started,DATE,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_started_time,TIMESTAMP,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_systems,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_title,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_url,STRING,0,YES
alteryx,alteryx_gong_call,VIEW,gong_call_workspace_id,LONG,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_fivetran_deleted,BOOLEAN,-,YES
alteryx,alteryx_gong_call,VIEW,gong_call_fivetran_synced,TIMESTAMP,-,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_call_id,STRING,0,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_name,STRING,0,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_object_id,STRING,0,YES
alteryx,alteryx_gong_call_context_integration,VIEW,gong_call_context_integration_object_type,STRING,0,YES
